REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Alabama,2018,40,X,1.63142,X,X,X,X,X,X,638,78,39107
States,Alaska,2018,40,X,1.95933,X,X,X,X,X,X,79,16,4032
States,Arizona,2018,40,X,2.10718,X,X,X,X,X,X,359,40,17037
States,Arkansas,2018,40,X,1.10452,X,X,X,X,X,X,54,14,4889
States,California,2018,40,X,1.39592,X,X,X,X,X,X,626,100,44845
States,Colorado,2018,40,X,2.08133,X,X,X,X,X,X,843,74,40503
States,Connecticut,2018,40,X,1.52251,X,X,X,X,X,X,69,13,4532
States,Delaware,2018,40,X,0,X,X,X,X,X,X,0,10,2530
States,District of Columbia,2018,40,X,2.17196,X,X,X,X,X,X,314,5,14457
States,Georgia,2018,40,X,2.31987,X,X,X,X,X,X,1850,95,79746
States,Hawaii,2018,40,X,1.73913,X,X,X,X,X,X,34,16,1955
States,Idaho,2018,40,X,0.52459,X,X,X,X,X,X,8,6,1525
States,Illinois,2018,40,X,0.79196,X,X,X,X,X,X,394,103,49750
States,Indiana,2018,40,X,1.25458,X,X,X,X,X,X,65,24,5181
States,Iowa,2018,40,X,0.507453,X,X,X,X,X,X,32,20,6306
States,Kansas,2018,40,X,0.865203,X,X,X,X,X,X,119,32,13754
States,Kentucky,2018,40,X,1.19155,X,X,X,X,X,X,158,35,13260
States,Louisiana,2018,40,X,2.24564,X,X,X,X,X,X,1255,95,55886
States,Maine,2018,40,X,0.934256,X,X,X,X,X,X,135,49,14450
States,Maryland,2018,40,X,0.712356,X,X,X,X,X,X,58,23,8142
States,Massachusetts,2018,40,X,1.00768,X,X,X,X,X,X,505,57,50115
States,Michigan,2018,40,X,1.44733,X,X,X,X,X,X,226,37,15615
States,Minnesota,2018,40,X,1.342,X,X,X,X,X,X,97,23,7228
States,Mississippi,2018,40,X,1.94519,X,X,X,X,X,X,335,43,17222
States,Missouri,2018,40,X,0.665247,X,X,X,X,X,X,25,15,3758
States,Montana,2018,40,X,0.600365,X,X,X,X,X,X,46,29,7662
States,Nebraska,2018,40,X,1.82513,X,X,X,X,X,X,86,47,4712
States,Nevada,2018,40,X,0.392797,X,X,X,X,X,X,65,33,16548
States,New Hampshire,2018,40,X,0.609756,X,X,X,X,X,X,19,16,3116
States,New Jersey,2018,40,X,2.70526,X,X,X,X,X,X,885,41,32714
States,New Mexico,2018,40,X,0.852188,X,X,X,X,X,X,171,47,20066
States,New York,2018,40,X,0.965442,X,X,X,X,X,X,623,131,64530
States,North Carolina,2018,40,X,0.867867,X,X,X,X,X,X,929,151,107044
States,North Dakota,2018,40,X,0.937866,X,X,X,X,X,X,32,11,3412
States,Ohio,2018,40,X,0.793849,X,X,X,X,X,X,127,45,15998
States,Oklahoma,2018,40,X,1.66568,X,X,X,X,X,X,113,22,6784
States,Oregon,2018,40,X,0.778397,X,X,X,X,X,X,260,73,33402
States,Pennsylvania,2018,40,X,0.897104,X,X,X,X,X,X,530,141,59079
States,Rhode Island,2018,40,X,0.233173,X,X,X,X,X,X,15,23,6433
States,South Carolina,2018,40,X,1.36324,X,X,X,X,X,X,217,27,15918
States,South Dakota,2018,40,X,0.944063,X,X,X,X,X,X,147,32,15571
States,Tennessee,2018,40,X,0.494046,X,X,X,X,X,X,39,48,7894
